@t-online.de,secureimap.t-online.de,993,true,false
@free.fr,imap.free.fr,993,true,false
@sfr.fr,imap.sfr.fr,993,true,false
@neuf.fr,imap.sfr.fr,993,true,false
@numericable.fr,imap.sfr.fr,993,true,false
@laposte.net,imap.laposte.net,993,true,false
@bbox.fr,imap.bbox.fr,143,false,false
@club-internet.fr,imap.sfr.fr,993,true,false
@modulonet.fr,imap.sfr.fr,993,true,false
@aliceadsl.fr,imap.free.fr,993,true,false
@noos.fr,imap.sfr.fr,993,true,false
@freenet.de,mx.freenet.de,993,true,false
@wanadoo.fr,imap.orange.fr,993,true,false
@orange.fr,imap.orange.fr,993,true,false
@online.de,imap.1und1.de,993,true,false
@web.de,imap.web.de,993,true,false
